arrest_date,race,charge_1_description,charge_1_type,charge_1_class,charge_2_description,charge_2_type,charge_2_class,charge_3_description,charge_3_type,charge_3_class,charge_4_description,charge_4_class,charge_4_type
2024-10-25 23:54:00,ASIAN / PACIFIC ISLANDER,AGG BATTERY/PEACE OFFICER,F,2,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,CRIMINAL TRESPASS TO LAND,M,B,,,
2024-10-25 23:31:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-25 23:47:00,WHITE HISPANIC,IVC - AGG DUI/NO VALID DL,F,4,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,POSS CANNABIS IN PRIV VEH NOT IN SEALED CONTAINER,,L,"LANES, FAIL TO KEEP IN",L,
2024-10-25 23:17:00,BLACK,RECKLESS CONDUCT,M,A,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,
2024-10-25 22:58:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,"LANES, FAIL TO KEEP IN",,L,IVC - TRANS/CARRY ALC LIQ/DRIVER,,P,ELECTRONIC COMMUNICATION DEVICE,P,
2024-10-25 22:26:00,BLACK,ROBBERY - ARMED - OTHER DANGEROUS WEAPON,F,X,,,,,,,,,
2024-10-25 22:10:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,DRIVING ON SUSPENDED LICENSE,M,A,DOUBLE PARKING/NO STANDING,,L,BROKEN/INOPERABLE LAMPS,L,
2024-10-25 22:30:00,BLACK,REFUSE - LITTER/ LIQUIDS ON PUB. WAY/WATER WAY,,L,,,,,,,,,
2024-10-25 22:35:00,BLACK,ISSUANCE OF WARRANT,,Z,IVC - FAIL TO SIGNAL,,P,UNLICENSED,,P,,,
2024-10-25 20:53:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,
2024-10-25 21:15:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,DRIVING ON REVOKED LICENSE,M,A,NO WINDOW TREAT ADJACENT/DRVR,,P,FAILED TO USE SEATBELT,P,V
2024-10-25 22:12:00,BLACK,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-25 21:40:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,REGISTRATION PLATES,,L,,,,,,
2024-10-25 22:00:00,BLACK HISPANIC,OPERATE WITHOUT INSURANCE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,DISPLAY ST REG-FRONT/REAR,,L,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,P,
2024-10-25 21:26:00,WHITE HISPANIC,ANNUAL GUN OFFENDER REGISTRATION,,L,,,,,,,,,
2024-10-25 21:10:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-25 21:10:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-25 21:24:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 19:54:00,BLACK,UNLAWFUL USE ARMOR PIERCE BULLET,F,3,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,M,A,,,
2024-10-25 20:50:00,BLACK,CRIMINAL TRESPASS TO LAND,M,B,ASSAULT - SIMPLE,M,C,ASSAULT - SIMPLE,M,C,,,
2024-10-25 18:07:00,WHITE,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-25 20:01:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,ANNUAL GUN OFFENDER REGISTRATION,,L,BROKEN/INOPERABLE LAMPS,,L,,,
2024-10-25 18:57:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 18:57:00,BLACK,AGGRAVATED BATTERY/MERCHANT,F,3,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,
2024-10-25 19:04:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,,,,,,,,,
2024-10-25 19:07:00,BLACK HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,OPERATE UNINSURED MTR VEHICLE,,P,,,,,,
2024-10-25 18:11:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,NO VALID REGISTRATION,,P,,,
2024-10-25 17:40:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 18:43:00,BLACK HISPANIC,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,L,IMPROPER PASSG STREET CAR/LEFT,,P,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-25 18:31:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-25 18:23:00,BLACK,DRIVING ON REVOKED LICENSE,M,A,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-25 18:20:00,BLACK HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
