date,primary_type,description,location_description,arrest,beat,district,ward,community_area,latitude,longitude
2019-01-01 00:00:00,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,True,1723,017,33,14,,
2019-01-01 00:00:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,True,1031,010,22,30,41.841571025,-87.730558493
2019-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,True,0833,008,13,65,,
2019-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,POSSESSION OF PORNOGRAPHIC PRINT,APARTMENT,True,1914,019,46,3,,
2019-01-01 00:00:00,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER (SPECIFY),True,2023,020,48,77,,
2019-01-01 00:00:00,PROSTITUTION,PIMPING,POLICE FACILITY / VEHICLE PARKING LOT,True,1112,011,37,23,,
2019-01-01 00:01:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,True,1122,011,27,23,41.889196391,-87.717403722
2019-01-01 00:01:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,True,1214,012,27,24,41.895024194,-87.65166075
2019-01-01 00:01:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,0522,005,34,49,41.685216153,-87.631749326
2019-01-01 00:01:00,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,SCHOOL - PUBLIC GROUNDS,True,1235,012,25,31,41.852397931,-87.662401967
2019-01-01 00:02:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,0313,003,20,42,41.783120383,-87.613266958
2019-01-01 00:03:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),True,2531,025,29,25,41.912051569,-87.772807303
2019-01-01 00:08:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,True,1234,012,25,31,41.854122448,-87.667309894
2019-01-01 00:11:00,CRIMINAL TRESPASS,TO LAND,SIDEWALK,True,1233,012,25,31,41.857068095,-87.657625201
2019-01-01 00:14:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,True,0726,007,16,67,41.775037102,-87.676227136
2019-01-01 00:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,True,0111,001,42,32,41.885908101,-87.626289429
2019-01-01 00:20:00,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE,True,0611,006,21,71,41.747617457,-87.664582442
2019-01-01 00:20:00,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,True,0831,008,17,66,41.774607973,-87.689619995
2019-01-01 00:28:00,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,BAR OR TAVERN,True,2514,025,31,19,41.931265251,-87.766924444
2019-01-01 00:29:00,BATTERY,SIMPLE,STREET,True,2432,024,49,1,42.00370451,-87.659317195
2019-01-01 00:30:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,True,1022,010,24,29,,
